N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
186,티와이홀딩스,"25,700",50,-0.19%,500,"13,089","50,929",5.15,"38,237",2.21,N/A,
187,한국앤컴퍼니,"13,650",50,-0.36%,500,"12,959","94,935",9.63,"45,299",5.24,5.08,
188,ESR켄달스퀘어리츠,"6,060",10,+0.17%,"1,000","12,913","213,089",31.95,"140,956",159.47,1.14,
189,PI첨단소재,"43,400",200,-0.46%,500,"12,745","29,366",12.84,"116,112",21.79,15.62,
190,현대두산인프라코어,"6,450",80,-1.23%,"1,000","12,735","197,435",9.80,"642,899",5.52,6.47,
191,LS ELECTRIC,"42,300","1,450",-3.31%,"5,000","12,690","30,000",17.77,"345,037",15.66,6.15,
192,TIGER 미국테크TOP10 INDXX,"11,750",370,-3.05%,0,"12,520","106,550",0.03,"1,458,104",N/A,N/A,
193,명신산업,"23,800",650,-2.66%,500,"12,488","52,470",2.30,"249,163",-10.32,-67.39,
194,롯데렌탈,"33,750","1,050",-3.02%,"5,000","12,364","36,634",1.67,"103,323",11.70,6.73,
195,코리안리,"10,250",700,-6.39%,500,"12,338","120,369",31.92,"815,472",7.85,5.78,
196,대한전선,"1,435",80,-5.28%,100,"12,290","856,473",1.39,"6,503,646",39.86,0.92,
197,에스엘,"25,400",700,-2.68%,500,"12,244","48,203",14.83,"103,874",8.42,4.74,
198,롯데관광개발,"17,650",400,+2.32%,500,"12,227","69,276",5.95,"1,201,392",-6.18,-30.43,
199,DL,"58,000","1,700",-2.85%,"5,000","12,154","20,956",11.63,"157,208",1.84,11.84,
200,영풍,"658,000","1,000",+0.15%,"5,000","12,121","1,842",4.15,532,10.22,4.03,
