position,name,championsKilled,numDeaths,assists,neutralMinionsKilled,turretsKilled,barracksKilled,minionsKilled,largestMultiKill,largestCriticalStrike,largestKillingSpree,goldEarned,physicalDamageDealtToChampions,magicDamageDealtPlayer,totalHeal,physicalDamageTaken,totalDamageDealtToChampions,totalDamageDealt,totalDamageTaken,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,timeCCingOthers
A,신지드,1.8,4.8,6.2,3.4,0.8,0.4,87.8,0.8,0.0,1.0,5979.2,297.4,8248.0,1177.8,9322.4,8938.0,69069.0,15574.0,0.0,0.0,20.2
A,아리,5.0,5.0,3.0,0.0,1.0,0.0,225.0,1.0,0.0,2.0,11725.0,935.0,8803.0,3322.0,9822.0,12672.0,127496.0,16543.0,0.0,0.0,12.0
A,아우렐리온 솔,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,아지르,9.0,3.0,4.0,10.0,2.0,0.0,169.0,1.0,0.0,7.0,11996.0,1143.0,15769.0,3067.0,9485.0,18010.0,128881.0,14940.0,0.0,0.0,10.0
A,아칼리,2.0,5.333333333333333,5.0,1.3333333333333333,0.6666666666666666,0.0,118.0,1.0,0.0,0.0,7345.0,1115.0,9301.666666666666,1787.6666666666667,11523.0,10622.333333333334,65179.666666666664,18942.333333333332,0.0,0.0,0.6666666666666666
A,아크샨,8.6875,6.75,6.4375,8.125,1.0,0.1875,159.8125,1.6875,554.125,3.5625,12046.75,16778.5,3274.0,1520.8125,13044.6875,21341.0,125612.625,19947.75,0.0,0.0,2.3125
A,아트록스,3.0,7.0,2.0,0.0,1.0,0.0,140.0,1.0,0.0,0.0,8272.0,3724.0,0.0,2583.0,10004.0,4391.0,59694.0,19088.0,0.0,0.0,5.0
A,아펠리오스,6.042573778422835,6.0570875665215285,5.928398645379778,12.303821964199322,1.5732946298984034,0.19932268988872762,168.49830672472183,1.5466860183841316,611.66618287373,2.825834542815675,11003.52733430092,15429.97290759555,1048.0367682631834,2285.243831640058,9906.2549588776,16919.29124334785,122531.99322689889,16118.119496855346,0.0,0.0,14.520561199806483
A,애니,12.0,4.5,11.0,7.5,0.5,0.0,166.0,2.0,11.5,6.5,12560.5,1046.5,22250.5,2280.5,8241.0,23834.5,105331.0,14180.5,0.0,0.0,31.5
A,애니비아,6.0,4.6875,7.9375,6.875,0.5625,0.0,166.4375,1.5,0.0,2.375,11004.5625,832.0625,15476.3125,1890.3125,10104.875,17247.3125,110718.375,16884.9375,0.0,0.0,34.0
A,애쉬,5.1024258760107815,5.877358490566038,8.464959568733153,9.974393530997304,1.252021563342318,0.18059299191374664,159.42587601078168,1.3787061994609164,275.9366576819407,2.3557951482479784,10435.27088948787,12760.524258760108,1777.867924528302,1107.0902964959569,9682.297843665769,14957.545822102426,107639.34905660378,15360.936657681941,0.0,0.0,34.75067385444744
A,야스오,6.112612612612613,6.027027027027027,6.297297297297297,13.08108108108108,1.5225225225225225,0.2072072072072072,166.06306306306305,1.4324324324324325,742.7567567567568,2.828828828828829,11050.414414414414,11572.121621621622,1116.9414414414414,1606.9774774774776,11253.211711711712,13002.490990990991,129323.40990990991,17285.175675675677,0.0,0.0,19.06756756756757
A,에코,4.0,14.0,6.0,4.0,0.0,0.0,128.0,1.0,0.0,3.0,9978.0,1810.0,11619.0,4463.0,25832.0,13905.0,109735.0,30689.0,0.0,0.0,20.0
A,오공,7.5,8.5,3.25,2.0,0.5,0.0,128.25,1.75,90.5,3.25,10064.5,13722.5,2128.5,4155.25,13631.5,16591.75,79212.5,25842.5,0.0,0.0,11.75
A,오리아나,1.0,2.5,4.0,4.0,0.0,0.0,99.5,1.0,0.0,1.0,5303.0,261.5,4759.0,496.5,4169.5,5159.0,45336.0,7110.0,0.0,0.0,9.5
A,요네,8.333333333333334,6.266666666666667,5.8,19.022222222222222,2.0,0.2,159.66666666666666,1.5555555555555556,545.7555555555556,3.6222222222222222,11823.577777777778,12317.777777777777,3512.7555555555555,1463.6888888888889,12596.2,18115.51111111111,140443.51111111112,21148.911111111112,0.0,0.0,20.622222222222224
A,요릭,1.0,3.5,0.5,1.5,0.0,0.0,91.0,0.5,0.0,1.0,4406.0,2805.5,1359.5,1162.5,5637.5,4166.0,35261.0,8704.5,0.0,0.0,3.5
A,이렐리아,6.454545454545454,6.0,4.045454545454546,8.409090909090908,0.7727272727272727,0.18181818181818182,160.95454545454547,1.5454545454545454,177.63636363636363,3.090909090909091,9997.272727272728,10009.59090909091,3697.090909090909,2414.909090909091,12452.318181818182,14174.40909090909,106258.86363636363,19610.772727272728,0.0,0.0,10.318181818181818
A,이즈리얼,5.930780559646539,5.399484536082475,6.867452135493372,10.598674521354933,1.2558910162002945,0.19624447717231222,168.00699558173784,1.4683357879234167,19.716126656848306,2.9399852724594995,11171.461708394698,13728.07142857143,5447.364506627393,1845.677466863034,10283.09793814433,19929.871134020617,124383.27687776141,16974.236008836524,0.0,0.0,2.9399852724594995
A,일라오이,0.0,1.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,4336.0,4419.0,56.0,1163.0,3760.0,4607.0,54008.0,4141.0,0.0,0.0,1.0
A,자르반 4세,2.0,10.0,9.0,7.0,1.0,0.0,95.0,1.0,0.0,0.0,7747.0,4858.0,507.0,1230.0,10254.0,5365.0,43808.0,15995.0,0.0,0.0,11.0
A,자야,5.664179104477612,5.53544776119403,7.076492537313433,11.651119402985074,1.3227611940298507,0.16044776119402984,174.63152985074626,1.3973880597014925,136.7509328358209,2.6194029850746268,11075.810634328358,17765.234141791047,544.2192164179105,1379.1315298507463,9279.440298507463,18641.193097014926,129582.45708955223,15320.366604477613,0.0,0.0,12.65205223880597
A,잭스,5.25,6.625,5.125,10.875,1.25,0.125,117.5,0.875,0.0,2.75,9177.125,12858.5,3651.25,3798.875,11591.625,16862.0,94629.75,20449.625,0.0,0.0,16.75
A,제드,9.166666666666666,5.666666666666667,6.083333333333333,9.75,0.9166666666666666,0.0,148.08333333333334,1.5833333333333333,0.0,3.25,11249.833333333334,20621.833333333332,989.5,1418.0,12734.25,22774.666666666668,114376.83333333333,18268.166666666668,0.0,0.0,6.166666666666667
A,제라스,6.037313432835821,4.604477611940299,8.552238805970148,5.8283582089552235,0.6194029850746269,0.09701492537313433,167.2537313432836,1.328358208955224,0.0,3.291044776119403,11291.55223880597,562.4104477611941,20357.014925373136,749.0597014925373,7199.686567164179,21462.79104477612,125368.6119402985,12181.380597014926,0.0,0.0,20.261194029850746
A,제이스,3.1956521739130435,5.891304347826087,3.0217391304347827,6.130434782608695,0.7608695652173914,0.15217391304347827,113.91304347826087,1.0,0.0,1.4130434782608696,7424.717391304348,9920.217391304348,1742.6521739130435,643.304347826087,7740.326086956522,12007.717391304348,73530.15217391304,11745.478260869566,0.0,0.0,5.673913043478261
A,조이,7.0,6.0,7.0,3.0,0.2,0.0,154.0,1.2,0.0,4.8,10495.6,2334.2,14312.0,2581.4,10363.2,18706.2,105173.0,16317.2,0.0,0.0,27.2
A,직스,5.086785009861933,5.06508875739645,8.041420118343195,8.096646942800788,2.41025641025641,0.19723865877712032,180.1301775147929,1.3076923076923077,0.0,2.668639053254438,11229.157790927022,830.3668639053254,20357.49506903353,1006.207100591716,7756.96449704142,21397.15187376726,146514.96252465484,13660.641025641025,0.0,0.0,16.660749506903354
A,진,6.528600964851826,4.944635883298874,7.959797840569722,8.36526533425224,1.0114863312657938,0.14771422007810706,168.72685504249944,1.4973581438088674,1052.6147484493454,3.335630599586492,11090.900528371238,13748.923271307145,1537.6779232713072,3124.009418791638,8987.415345738571,15592.451872271997,124342.43349414197,14855.670572019297,0.0,0.0,19.2706179646221
A,질리언,2.0,1.6666666666666667,5.0,1.3333333333333333,0.0,0.0,72.0,0.6666666666666666,0.0,1.0,4844.0,981.3333333333334,4717.333333333333,2975.3333333333335,8508.333333333334,5747.0,47070.333333333336,11118.333333333334,0.0,0.0,20.0
A,징크스,6.397649363369246,5.513548808357819,7.02252693437806,14.734247469800849,1.7388181521384263,0.2660790075089781,173.81096963761019,1.6503428011753183,564.1312438785504,3.2115572967678747,11250.03754489063,14836.499183806725,1092.1645445641527,1459.6219392752205,9497.793992817498,17220.88540646425,131632.44760039178,15443.73359451518,0.0,0.0,14.165523996082273
A,초가스,5.666666666666667,6.5,5.0,7.166666666666667,0.3333333333333333,0.16666666666666666,139.5,1.1666666666666667,0.0,1.5,9554.833333333334,1369.1666666666667,8821.5,4882.833333333333,11304.0,11916.666666666666,102023.5,21649.833333333332,0.0,0.0,65.66666666666667
A,카르마,3.6666666666666665,8.333333333333334,5.333333333333333,0.0,0.0,0.0,129.33333333333334,0.6666666666666666,0.0,0.6666666666666666,8556.333333333334,1229.3333333333333,15017.333333333334,1630.0,11156.666666666666,16719.666666666668,82484.66666666667,19517.333333333332,0.0,0.0,28.333333333333332
A,카밀,11.333333333333334,6.333333333333333,7.333333333333333,11.333333333333334,1.6666666666666667,0.0,142.66666666666666,1.6666666666666667,0.0,4.0,13231.666666666666,16853.666666666668,1312.6666666666667,7613.333333333333,17139.666666666668,23388.0,130404.66666666667,33072.0,0.0,0.0,23.0
A,카사딘,8.285714285714286,4.428571428571429,4.857142857142857,8.285714285714286,1.2857142857142858,0.0,151.71428571428572,1.7142857142857142,0.0,3.5714285714285716,10742.0,1465.857142857143,15578.57142857143,3082.0,12606.285714285714,17229.714285714286,102651.71428571429,19413.85714285714,0.0,0.0,18.285714285714285
A,카서스,8.0,7.132075471698113,9.11320754716981,16.433962264150942,0.660377358490566,0.07547169811320754,166.30188679245282,1.7358490566037736,0.0,2.830188679245283,12076.150943396226,266.35849056603774,24741.67924528302,1439.6792452830189,9737.132075471698,25518.79245283019,134506.1320754717,17075.20754716981,0.0,0.0,14.773584905660377
A,카시오페아,7.304761904761905,5.59047619047619,6.9904761904761905,10.914285714285715,0.6571428571428571,0.09523809523809523,168.8,1.5714285714285714,0.0,3.4952380952380953,11502.057142857142,368.96190476190475,16820.2,5136.133333333333,11750.647619047619,17345.64761904762,112599.37142857142,19798.04761904762,0.0,0.0,25.466666666666665
A,카이사,7.3509933774834435,5.520235467255334,5.981604120676969,12.658572479764533,1.2737306843267109,0.20088300220750552,175.04047093451067,1.6276674025018396,491.78072111846944,3.4621044885945547,11564.21412803532,11147.43561442237,3838.522442972774,1778.1515820456218,10034.686534216336,16087.579838116262,124970.66077998528,15922.136865342163,0.0,0.0,1.9654157468727005
A,카타리나,8.5,7.5,5.5,8.0,1.5,0.0,139.5,1.75,0.0,2.75,11873.5,3955.75,12444.5,4033.75,15997.5,17083.5,120328.5,27773.75,0.0,0.0,1.75
